CONTIG	POS	CHR	MALE_POS	FEMALE_POS
LG1	28240	1	0.000	0.000
LG1	28286	1	0.000	0.000
LG1	34372	1	0.193	0.189
LG1	34375	1	0.193	0.189
LG1	34411	1	0.485	0.189
LG1	44294	1	0.485	0.189
LG1	81167	1	0.609	0.465
LG1	81174	1	0.609	0.465
LG1	136303	1	0.728	0.465
LG1	175683	1	0.728	0.585
LG1	197892	1	0.841	0.945
LG1	209164	1	0.953	0.945
LG1	214210	1	1.288	1.060
LG1	226523	1	1.288	1.289
LG1	338228	1	1.288	1.289
LG1	390471	1	1.288	1.401
LG1	390475	1	1.288	1.401
LG1	392722	1	1.288	1.401
LG1	403249	1	1.288	1.401
LG1	410620	1	1.288	1.511
LG1	424431	1	1.288	1.620
LG1	425968	1	1.288	1.620
LG1	442696	1	1.288	1.620
LG1	465753	1	1.288	1.730
LG1	480214	1	1.288	1.730
LG1	519749	1	1.288	1.730
LG1	519765	1	1.288	2.057
LG1	533150	1	1.397	2.057
LG1	533179	1	1.397	2.057
LG1	539622	1	1.397	2.057
LG1	585278	1	1.505	2.057
LG1	585305	1	1.505	2.165
LG1	612405	1	1.935	2.273
LG1	612412	1	1.935	2.597
LG1	629337	1	2.042	3.138
LG1	653943	1	2.472	3.354
LG1	653948	1	2.472	3.354
LG1	653949	1	2.472	3.354
LG1	653957	1	2.472	3.354
LG1	735292	1	3.010	4.217
LG1	742255	1	3.010	4.217
LG1	748526	1	3.010	4.217
LG1	756792	1	3.010	4.217
LG1	764214	1	3.010	4.217
LG1	890052	1	3.010	4.217
LG1	907052	1	3.010	4.217
LG1	1020289	1	3.117	4.217
LG1	1041726	1	3.117	4.538
LG1	1058717	1	3.117	4.538
LG1	1096268	1	3.117	4.538
LG1	1096296	1	3.331	4.538
LG1	1098181	1	3.331	4.538
LG1	1137375	1	3.331	4.752
LG1	1137443	1	3.438	5.288
LG1	1144489	1	3.438	5.288
LG1	1198830	1	3.545	5.394
LG1	1204415	1	3.545	5.394
LG1	1204421	1	3.545	5.608
LG1	1208387	1	3.545	5.608
LG1	1209122	1	3.545	5.608
LG1	1211463	1	3.545	5.608
LG1	1211477	1	3.545	5.608
LG1	1217308	1	3.545	5.608
LG1	1217312	1	3.545	5.608
LG1	1217337	1	3.545	5.608
LG1	1217580	1	3.545	5.608
LG1	1217603	1	3.545	5.608
LG1	1217630	1	3.545	5.608
LG1	1219795	1	3.545	5.608
LG1	1222816	1	3.545	5.822
LG1	1258567	1	3.545	6.035
LG1	1258592	1	3.545	6.142
LG1	1261591	1	3.545	6.142
LG1	1261600	1	3.545	6.142
LG1	1273165	1	3.545	6.142
LG1	1273187	1	3.545	6.142
LG1	1273190	1	3.545	6.249
LG1	1273386	1	3.545	6.249
LG1	1287129	1	3.545	6.355
LG1	1293397	1	3.545	6.462
LG1	1295276	1	3.758	6.569
LG1	1295293	1	3.758	6.569
LG1	1302220	1	3.758	6.569
LG1	1302286	1	3.758	6.676
LG1	1302533	1	3.758	6.782
LG1	1308353	1	3.865	6.782
LG1	1316008	1	3.865	6.889
LG1	1338034	1	3.865	7.103
LG1	1338048	1	3.865	7.103
LG1	1338084	1	3.865	7.316
LG1	1346290	1	3.865	7.530
LG1	1348743	1	4.186	7.958
LG1	1369138	1	4.292	8.279
LG1	1395231	1	4.292	8.279
LG1	1399442	1	4.292	8.493
LG1	1420394	1	4.399	9.029
LG1	1437263	1	4.399	9.029
LG1	1437327	1	4.399	9.565
LG1	1571781	1	4.399	9.886
LG1	1609739	1	4.399	9.992
LG1	1747615	1	4.399	10.313
LG1	1748098	1	4.399	10.313
LG1	1765526	1	4.399	10.527
LG1	1785323	1	4.399	10.634
LG1	1813450	1	4.399	10.634
LG1	1833373	1	4.506	10.634
LG1	1850130	1	4.506	10.634
LG1	1850157	1	4.506	10.634
LG1	1853782	1	4.506	11.062
LG1	1875477	1	4.506	11.275
LG1	1889408	1	4.506	11.275
LG1	1891092	1	4.613	11.704
LG1	1891093	1	4.613	11.704
LG1	1900076	1	4.826	11.917
LG1	1904478	1	4.826	11.917
LG1	1904517	1	4.826	11.917
LG1	1968742	1	4.933	12.453
LG1	1990827	1	4.933	12.774
LG1	1998409	1	4.933	12.774
LG1	1998442	1	4.933	12.774
LG1	1998461	1	4.933	12.774
LG1	2003660	1	4.933	12.774
LG1	2003723	1	4.933	12.881
LG1	2014544	1	5.147	13.417
LG1	2044808	1	5.147	13.631
LG1	2065954	1	5.360	13.631
LG1	2065986	1	5.360	13.631
LG1	2067399	1	5.360	13.631
LG1	2082935	1	5.360	13.737
LG1	2140521	1	5.467	14.166
LG1	2140527	1	5.467	14.379
LG1	2156692	1	5.467	14.700
LG1	2210464	1	5.467	14.807
LG1	2214847	1	5.467	14.913
LG1	2232496	1	5.467	15.234
LG1	2236755	1	5.467	15.341
LG1	2247139	1	5.467	15.341
LG1	2311530	1	5.467	15.341
LG1	2316839	1	5.467	15.341
LG1	2363772	1	5.467	15.555
LG1	2363804	1	5.467	15.555
LG1	2367364	1	5.467	15.661
LG1	2370379	1	5.467	15.661
LG1	2371305	1	5.467	15.661
LG1	2371338	1	5.467	15.661
LG1	2378936	1	5.467	15.661
LG1	2379134	1	5.467	15.768
LG1	2379182	1	5.467	15.768
LG1	2389373	1	5.574	15.875
LG1	2389402	1	5.574	15.982
LG1	2390433	1	5.574	15.982
LG1	2391881	1	5.574	16.088
LG1	2397840	1	5.574	16.088
LG1	2400158	1	5.681	16.195
LG1	2403221	1	5.681	16.195
LG1	2403244	1	5.681	16.195
LG1	2403286	1	5.681	16.195
LG1	2403344	1	5.681	16.195
LG1	2453787	1	5.894	16.302
LG1	2476306	1	5.894	16.409
LG1	2484840	1	6.001	16.837
LG1	2484863	1	6.001	16.944
LG1	2556160	1	6.001	17.157
LG1	2560578	1	6.108	17.371
LG1	2591118	1	6.108	17.585
LG1	2591212	1	6.108	17.691
LG1	2605151	1	6.108	17.798
LG1	2612025	1	6.214	18.226
LG1	2612031	1	6.214	18.226
LG1	2613522	1	6.214	18.547
LG1	2614508	1	6.214	18.654
LG1	2620395	1	6.214	18.654
LG1	2663751	1	6.321	19.190
LG1	2670503	1	6.321	19.403
LG1	2670508	1	6.321	19.403
LG1	2694009	1	6.321	19.724
LG1	2694039	1	6.321	19.724
LG1	2698115	1	6.321	20.260
LG1	2716491	1	6.321	20.474
LG1	2716500	1	6.321	20.688
LG1	2729480	1	6.428	21.223
LG1	2729835	1	6.642	22.301
LG1	2812694	1	6.642	22.408
LG1	2847703	1	6.748	22.621
LG1	2860160	1	6.855	22.942
LG1	2860178	1	6.855	22.942
LG1	2863823	1	6.962	23.049
LG1	2885488	1	6.962	24.018
LG1	2937783	1	7.068	24.232
LG1	2947490	1	7.068	24.232
LG1	2949630	1	7.282	24.660
LG1	2949636	1	7.282	24.660
LG1	2967278	1	7.282	25.088
LG1	2967279	1	7.282	25.088
LG1	2967280	1	7.282	25.088
LG1	2967281	1	7.282	25.088
LG1	2967282	1	7.282	25.088
LG1	2967283	1	7.389	25.088
LG1	2967299	1	7.389	25.088
LG1	2967305	1	7.389	25.088
LG1	2967320	1	7.389	25.302
LG1	2971624	1	7.389	25.515
LG1	2971674	1	7.389	25.515
LG1	2971678	1	7.389	25.515
LG1	3007037	1	7.389	25.515
LG1	3009456	1	7.496	25.622
LG1	3009458	1	7.496	25.943
LG1	3023959	1	7.496	26.264
LG1	3034580	1	7.602	26.264
LG1	3067454	1	7.709	26.585
LG1	3068502	1	7.709	26.585
LG1	3068511	1	7.709	26.585
LG1	3068544	1	7.816	26.798
LG1	3072207	1	7.816	27.012
LG1	3075398	1	7.922	27.119
LG1	3075989	1	8.029	27.119
LG1	3106363	1	8.029	27.119
LG1	3109098	1	8.029	27.119
